launch (days past J2000),arrive (days past J2000),Vinfinity (km/s EMO2000),,,planet pos (km EMO2000),,,planet vel (km/s EMO2000),,,C3 (km2/s2),DeltaV (km/s),arrival mass (kg Falcon H Rec + biprop),flyby body,days past J2000,
10311.75000000,13931.75000000,-0.33900237,13.38994980,-0.06223445,-1053282045.48297119,2591026511.09950590,23256093.52580354,-6.37197021,-2.89207944,0.07187432,9.19472036,2.98988327,2048.55117152,299,10484.29101563,399,10823.34472656,399,11895.13671875,
10332.75000000,13901.75000000,-0.40399972,13.68531227,-0.01958656,-1036744147.70975304,2598469121.83672333,23069018.30661646,-6.38879934,-2.85061265,0.07258050,11.02997916,2.98341416,1951.48825483,299,10502.50976563,399,10820.35058594,399,11904.11816406,
11457.75000000,14891.75000000,-1.83269870,11.56802464,0.04328955,-1555399538.19675827,2298016508.05737877,28684900.59751546,-5.68924887,-4.14973057,0.05819285,13.10228127,2.36147000,2239.98628791,299,11571.35156250,299,11999.49511719,299,12658.41210938,399,12703.47167969,
11457.75000000,14801.75000000,-2.00698137,12.19947815,0.04766045,-1510866592.09885836,2329853028.90880108,28225588.06775321,-5.76477562,-4.03829927,0.05982929,13.10228127,2.45302977,2176.18653441,299,11571.35156250,299,11999.49511719,299,12658.41210938,399,12703.47167969,
11457.75000000,15011.75000000,-1.61406803,10.81039429,0.03769375,-1613847138.29266000,2254230090.83265781,29280132.24307415,-5.58490978,-4.29639106,0.05618319,13.10228127,2.24083026,2326.91393785,299,11571.35156250,299,11999.49511719,299,12658.41210938,399,12703.47167969,
12045.75000000,15521.75000000,-4.07864285,11.65484905,0.05531732,-1849477055.70670867,2051727002.49019217,31580108.70777318,-5.09879536,-4.88606076,0.04769822,14.32405994,3.32450399,1595.88328134,299,12184.72070313,399,12682.51464844,399,13413.00976563,
11457.75000000,15106.75000000,-1.45102334,10.27008247,0.03350535,-1659337889.83591890,2218496591.17266464,29737051.45861185,-5.49931013,-4.41024609,0.05463591,13.10228127,2.14437951,2398.83249234,299,11571.35156250,299,11999.49511719,299,12658.41210938,399,12703.47167969,
10299.75000000,13931.75000000,-0.35552970,13.40210152,-0.04362893,-1053282045.48297119,2591026511.09950590,23256093.52580354,-6.37197021,-2.89207944,0.07187432,11.35478459,2.62734751,2163.88080188,299,10411.41503906,399,10895.19628906,399,11898.12988281,
12045.75000000,15521.75000000,-4.07864285,11.65484905,0.05531732,-1849477055.70670867,2051727002.49019217,31580108.70777318,-5.09879536,-4.88606076,0.04769822,14.32405994,3.32450399,1595.88328134,299,12184.72070313,399,12682.51464844,399,13413.00976563,
10305.75000000,13951.75000000,-0.32491541,13.22139740,-0.06559338,-1064282972.99155545,2586005216.72609377,23380215.70946496,-6.36091023,-2.91951901,0.07176724,12.14168660,2.61672130,2123.70598130,299,10411.41503906,399,10892.20214844,399,11895.13671875,
10287.75000000,13901.75000000,-0.39105564,13.67394352,-0.02842843,-1036744147.70975304,2598469121.83672333,23069018.30661646,-6.38879934,-2.85061265,0.07258050,14.65126462,2.55434376,2015.75009056,299,10396.23339844,399,10901.18359375,399,11901.12402344,
12102.75000000,15581.75000000,-6.26404095,13.71161079,0.09193337,-1875751021.91793180,2026227700.03878117,31825310.40978021,-5.03745922,-4.95152260,0.04696842,18.37414746,3.14478051,1497.46838602,299,12284.92480469,399,12598.68750000,399,13781.25097656,
12615.75000000,15941.75000000,-4.75296736,10.86414909,0.00258801,-2026516663.94196773,1866270037.85679197,33180469.44652943,-4.65167468,-5.32874858,0.04018177,8.31116877,4.05566771,1498.95456405,299,12752.54296875,399,13041.77441406,399,13754.30664063,
11496.75000000,15141.75000000,-1.41978407,10.07334900,0.03044798,-1675919197.22796154,2205097442.76158714,29902172.34115891,-5.46723353,-4.45159716,0.05431812,23.37442657,2.63944733,1499.20914231,399,12029.85937500,299,12233.30468750,299,12646.26562500,399,12700.47753906,
12135.75000000,15731.75000000,-3.24847174,10.24915123,0.16975757,-1940026692.03514719,1961007781.08560729,32414439.00696346,-4.88035056,-5.11255252,0.04421714,20.11599611,2.97004631,1499.43917395,299,12300.10644531,299,12694.84960938,399,13353.13281250,
13212.75000000,16661.75000000,-6.48489285,10.02011681,0.07372883,-2289898377.85019112,1513554384.90281272,35270276.23862358,-3.79897285,-5.99004716,0.02700685,11.32635898,3.79247559,1499.28816404,299,13387.16699219,399,13685.44824219,399,14514.74023438,
13239.75000000,16721.75000000,-9.01995277,11.44955349,0.12695315,-2309397020.16954422,1482373829.88488483,35406007.63460384,-3.72357412,-6.03931099,0.02562285,9.51075228,3.75896640,1593.25318597,299,13408.42285156,399,13724.36816406,399,14894.95703125,
10287.75000000,13871.75000000,-0.39652386,13.92991543,-0.03674843,-1020162983.81369638,2605804146.31916285,22880946.69695209,-6.40550269,-2.80903062,0.07267203,16.42516996,2.60007462,1885.89257833,299,10393.19628906,399,10901.18359375,399,11898.12988281,
11325.75000000,14951.75000000,-1.74897814,11.16850090,0.03890667,-1584758245.80075240,2276313312.00898123,28984999.32773731,-5.63752034,-4.22329300,0.05747260,15.32170689,3.23757643,1593.27697134,299,11780.86816406,399,12179.55078125,299,12643.22949219,399,12700.47753906,
10272.75000000,13921.75000000,-0.38983953,13.51061630,-0.02070296,-1047774225.62763536,2593519297.97131681,23193835.76786651,-6.37761603,-2.87831713,0.07180980,14.93176246,2.73819195,1886.64584451,299,10399.26953125,399,10898.19042969,399,11904.11816406,
