launch (days past J2000),arrive (days past J2000),Vinfinity (km/s EMO2000),,,planet pos (km EMO2000),,,planet vel (km/s EMO2000),,,C3 (km2/s2),DeltaV (km/s),arrival mass (kg Falcon H Rec + biprop),flyby body,days past J2000,
12064.50000000,15337.50000000,-6.82804489,-3.57075739,0.40886691,-1274970577.55319405,-707083317.22164536,63021328.11768597,4.17619963,-8.47515661,-0.01948069,13.73932329,0.17900200,4379.78320807,299,12235.92187500,399,12568.80957031,399,13401.12304688,599,14294.70703125,
11896.50000000,15537.50000000,-6.25530481,-3.01031041,0.44250637,-1194848580.16294098,-848717442.93143928,62285876.31927192,5.08487513,-7.90203367,-0.06526530,9.55238762,0.55115021,4379.80748265,299,12284.50585938,299,13165.08593750,399,13730.45605469,599,14531.75781250,
12619.50000000,15957.50000000,-4.13806868,-1.74855709,0.32352486,-979216334.09755349,-1109550219.88658309,58222039.74590427,6.73638777,-6.41621343,-0.15662592,9.48636722,0.55318170,4384.91941062,299,12736.94140625,299,13168.12207031,399,13730.45605469,599,14603.77343750,
13246.50000000,16807.50000000,-4.45959759,0.09111133,0.33817914,-397815255.01315838,-1445047494.66709900,40891650.91366732,8.79593436,-2.58070148,-0.30602326,10.24895001,0.49070000,4379.48153696,299,13417.11425781,299,13833.11230469,399,14613.66601563,599,15179.89648438,
12604.50000000,15877.50000000,-4.44297934,-1.94946098,0.34110779,-1024796266.97544301,-1064130940.10478497,59249334.83023673,6.45184515,-6.72570679,-0.13988805,11.67278078,0.36108945,4385.11569768,299,12733.90527344,299,13165.08593750,399,13733.44921875,599,14591.77050781,
11869.50000000,15277.50000000,-7.26549244,-3.75548863,0.42358637,-1295870820.29645705,-662747027.77507007,63084840.16518232,3.88753734,-8.62706464,-0.00581599,9.50460199,0.55547070,4379.56640514,299,12275.39648438,399,12631.68164063,399,13362.20214844,599,14267.70117188,
12619.50000000,15337.50000000,-7.81871319,-3.83542705,0.52257800,-1274970577.55319405,-707083317.22164536,63021328.11768597,4.17619963,-8.47515661,-0.01948069,9.48636722,0.43025792,4558.37057712,299,12736.94140625,299,13168.12207031,399,13733.44921875,599,14477.74609375,
11383.50000000,14917.50000000,-5.81766129,4.03185272,-0.12859297,-1388633990.59659600,-382323212.62637937,61915326.09817721,2.04534359,-9.34417642,0.08120386,12.49386585,0.29166530,4379.70684904,299,11829.03320313,399,12272.41015625,399,13463.99511719,
13240.50000000,16567.50000000,-6.49001312,-1.78626192,0.27474394,-576354244.63600183,-1379398371.48760390,46861946.49888974,8.40020735,-3.74221316,-0.27001381,10.44265485,0.34638384,4559.09075152,299,13417.11425781,299,13839.18554688,399,13889.13378906,399,14984.91406250,
12604.50000000,15897.50000000,-4.36281776,-1.89949179,0.33736244,-1013586042.29418004,-1075685648.54549789,59003310.86708134,6.52420507,-6.64773240,-0.14496894,11.67278078,0.36129803,4384.82705278,299,12733.90527344,299,13165.08593750,399,13733.44921875,599,14594.77148438,
11896.50000000,15397.50000000,-6.42482805,-3.38622022,0.39489061,-1252596749.99496388,-750602535.71381509,62884716.88822302,4.45613255,-8.31445994,-0.03270659,13.65487986,0.18744767,4378.73666254,299,12278.43261719,399,12634.67578125,399,13365.19531250,599,14321.71289063,
13249.50000000,16447.50000000,-7.03242207,-2.30521774,0.29127976,-662155073.90042865,-1337664094.57189989,49554083.46885031,8.14444564,-4.30585905,-0.24917243,13.21463414,0.23017622,4374.90766596,299,13401.93164063,299,13830.07617188,399,13886.14062500,399,14981.91992188,
12604.50000000,15937.50000000,-4.20869350,-1.79736650,0.32752007,-990794927.18486953,-1098396163.95155001,58489469.52609825,6.66472683,-6.49467051,-0.15228350,11.67278078,0.36126477,4384.87308785,299,12733.90527344,299,13165.08593750,399,13733.44921875,599,14600.77246094,
12619.50000000,15517.50000000,-6.38560438,-3.08640957,0.44983608,-1203561438.73813510,-835010075.50229645,62395279.14654291,4.99807793,-7.96219908,-0.06155275,9.48636722,0.55748323,4378.97076160,299,12736.94140625,299,13168.12207031,399,13730.45605469,599,14525.75585938,
13249.50000000,16837.50000000,-6.34538460,-3.78306556,0.30027238,-374966392.99640572,-1451547883.70515490,40094617.22556627,8.83557279,-2.43331310,-0.30995519,13.21463414,0.10050607,4557.65625300,299,13401.93164063,299,13836.14941406,399,13892.12792969,399,15350.17382813,
13216.50000000,16837.50000000,-6.34538460,-3.78306556,0.30027238,-374966392.99640572,-1451547883.70515490,40094617.22556627,8.83557279,-2.43331310,-0.30995519,13.27593032,0.21738422,4384.91738966,299,13408.00488281,299,13836.14941406,399,13892.12792969,399,15350.17382813,
12604.50000000,15957.50000000,-4.13806868,-1.74855709,0.32352486,-979216334.09755349,-1109550219.88658309,58222039.74590427,6.73638777,-6.41621343,-0.15662592,11.67278078,0.36537788,4379.18488774,299,12733.90527344,299,13165.08593750,399,13733.44921875,599,14603.77343750,
11896.50000000,15457.50000000,-6.91103935,-3.32843041,0.48124012,-1228782257.42679501,-793259497.60109353,62675744.29393223,4.72925043,-8.14276958,-0.04700408,10.14316004,0.37321358,4558.19454802,299,12284.50585938,399,13032.86914063,399,13763.38867188,599,14525.75585938,
11863.50000000,15367.50000000,-7.61650419,-3.71054244,0.51549596,-1263965832.54540110,-728947963.68973756,62962132.39440012,4.31734565,-8.39610413,-0.02604747,13.63151474,0.06228521,4558.21768166,299,12299.68847656,399,12670.60351563,399,13766.38281250,599,14495.75000000,
